Total Number of Aligned Reads:	163500	Total Number of Mapped Genomes:	5834
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|441771|org|Clostridium_botulinum_A_str._Hall	0.9968553150707417	0.9860244648318043	161215.0	0.9860244648318043	0.0	0.7637376730045745	0.894958460716682	146325.7083271775	0.7729969418960244	0.20687461773700305
ti|536232|org|Clostridium_botulinum_A2_str._Kyoto	0.00256596882152773	0.009186544342507645	1502.0	0.009168195718654435	1.8348623853211008e-05	0.10862043737596991	0.04640675348912624	7587.50419547214	0.008452599388379205	0.08974311926605505
ti|441772|org|Clostridium_botulinum_F_str._Langeland	0.0004634312516825182	0.0025932721712538225	424.0	0.0025932721712538225	0.0	0.0612936059526141	0.014037171535373639	2295.07754603359	0.003400611620795107	0.03246483180428134
ti|498213|org|Clostridium_botulinum_B1_str._Okra	8.135967361985624e-05	0.0011926605504587156	195.0	0.0011926605504587156	0.0	0.06029057707756052	0.01440295624403259	2354.8833458993286	0.004116207951070336	0.032140672782874614
ti|1491|org|Clostridium_botulinum	2.7220104950675056e-05	0.0005993883792048929	98.0	0.0005993883792048929	0.0	0.00012491695057150737	0.0011706286201081085	191.39777938767574	0.0006116207951070336	0.0032966360856269113
ti|508765|org|Clostridium_botulinum_B_str._Eklund_17B	6.684264000598535e-06	0.00028134556574923545	46.0	0.00028134556574923545	0.0	6.684315940935398e-06	0.0002935779816513761	48.0	0.00028134556574923545	2.4464831804281346e-05
ti|498214|org|Clostridium_botulinum_A3_str._Loch_Maree	1.4516029160928597e-08	0.00011009174311926606	18.0	0.00011009174311926606	0.0	0.00031172006762721023	0.0009350258263976671	152.87672261601858	0.00018960244648318043	0.006
ti|515621|org|Clostridium_botulinum_Ba4_str._657	6.298244329204199e-09	1.2232415902140673e-05	2.0	1.2232415902140673e-05	0.0	2.493672249644417e-06	0.0009027878088486359	147.60580674675197	9.785932721712538e-05	0.006495412844036697
