file,read_count
../results/simdir/Escherichia_coli_K_12_substr__W3110_uid16351/16351_2.fq.gz,38690
../results/simdir/Escherichia_coli_K_12_substr__W3110_uid16351/16351_1.fq.gz,35912
../results/simdir/Francisella_tularensis_TI0902_uid64439/64439_1.fq.gz,14303
../results/simdir/Francisella_tularensis_TI0902_uid64439/64439_2.fq.gz,15876
../results/simdir/Clostridium_ljungdahlii_ATCC_49587_uid13492/13492_1.fq.gz,35303
../results/simdir/Clostridium_ljungdahlii_ATCC_49587_uid13492/13492_2.fq.gz,38739
../results/simdir/Listeria_monocytogenes_ATCC_19117_uid51859/51859_1.fq.gz,22472
../results/simdir/Listeria_monocytogenes_ATCC_19117_uid51859/51859_2.fq.gz,24597
../results/simdir/Escherichia_coli_APEC_O1_uid16718/16718_2.fq.gz,45631
../results/simdir/Escherichia_coli_APEC_O1_uid16718/16718_1.fq.gz,42031
../results/simdir/Escherichia_coli_S88_uid33375/33375_2.fq.gz,42492
../results/simdir/Escherichia_coli_S88_uid33375/33375_1.fq.gz,38843
../results/simdir/Salmonella_enterica_serovar_Typhimurium_798_uid66023/66023_1.fq.gz,38352
../results/simdir/Salmonella_enterica_serovar_Typhimurium_798_uid66023/66023_2.fq.gz,41287
../results/simdir/Salmonella_typhimurium_LT2_uid241/241_2.fq.gz,41156
../results/simdir/Salmonella_typhimurium_LT2_uid241/241_1.fq.gz,37958
../results/simdir/Shigella_boydii_CDC_3083_94_uid15637/15637_1.fq.gz,37291
../results/simdir/Shigella_boydii_CDC_3083_94_uid15637/15637_2.fq.gz,40383
../results/simdir/Bacillus_coagulans_2_6_uid61501/61501_1.fq.gz,23753
../results/simdir/Bacillus_coagulans_2_6_uid61501/61501_2.fq.gz,25628
../results/simdir/Pseudomonas_aeruginosa_PA1R_uid185336/185336_2.fq.gz,53573
../results/simdir/Pseudomonas_aeruginosa_PA1R_uid185336/185336_1.fq.gz,47372
../results/simdir/Bacillus_subtilis_6051_HGW_uid82795/82795_1.fq.gz,32600
../results/simdir/Bacillus_subtilis_6051_HGW_uid82795/82795_2.fq.gz,34810
../results/simdir/Bacillus_halodurans_uid235/235_1.fq.gz,32622
../results/simdir/Bacillus_halodurans_uid235/235_2.fq.gz,34770
../results/simdir/Listeria_monocytogenes_M7_uid66625/66625_1.fq.gz,23065
../results/simdir/Listeria_monocytogenes_M7_uid66625/66625_2.fq.gz,25056
../results/simdir/Yersinia_pestis_A1122_uid67155/67155_2.fq.gz,38561
../results/simdir/Yersinia_pestis_A1122_uid67155/67155_1.fq.gz,35686
../results/simdir/Listeria_monocytogenes_serotype_1_2a_08_6997_uid167897/167897_1.fq.gz,23501
../results/simdir/Listeria_monocytogenes_serotype_1_2a_08_6997_uid167897/167897_2.fq.gz,25287
../results/simdir/Listeria_monocytogenes_serotype_1_2a_10_0815_uid167901/167901_1.fq.gz,23583
../results/simdir/Listeria_monocytogenes_serotype_1_2a_10_0815_uid167901/167901_2.fq.gz,25508
../results/simdir/Clostridium_cellulolyticum_H10_uid17419/17419_1.fq.gz,31618
../results/simdir/Clostridium_cellulolyticum_H10_uid17419/17419_2.fq.gz,34075
../results/simdir/Listeria_monocytogenes_07PF0776_uid78811/78811_2.fq.gz,24386
../results/simdir/Listeria_monocytogenes_07PF0776_uid78811/78811_1.fq.gz,22486
../results/simdir/Clostridium_kluyveri_NBRC_12016_uid33271/33271_1.fq.gz,29670
../results/simdir/Clostridium_kluyveri_NBRC_12016_uid33271/33271_2.fq.gz,32772
../results/simdir/Staphylococcus_aureus_NCTC_8325_uid237/237_1.fq.gz,21123
../results/simdir/Staphylococcus_aureus_NCTC_8325_uid237/237_2.fq.gz,23449
../results/simdir/Listeria_monocytogenes_uid276/276_1.fq.gz,22869
../results/simdir/Listeria_monocytogenes_uid276/276_2.fq.gz,24678
../results/simdir/Staphylococcus_aureus_CC45_uid197422/197422_2.fq.gz,24300
../results/simdir/Staphylococcus_aureus_CC45_uid197422/197422_1.fq.gz,21747
../results/simdir/Staphylococcus_aureus_TCH60_uid31539/31539_2.fq.gz,23810
../results/simdir/Staphylococcus_aureus_TCH60_uid31539/31539_1.fq.gz,21596
../results/simdir/Pseudomonas_mendocina_ymp_uid17457/17457_2.fq.gz,42750
../results/simdir/Pseudomonas_mendocina_ymp_uid17457/17457_1.fq.gz,37978
../results/simdir/Clostridium_difficile_M68_uid42463/42463_1.fq.gz,31707
../results/simdir/Clostridium_difficile_M68_uid42463/42463_2.fq.gz,36166
../results/simdir/Bacillus_megaterium_WSH_002_uid71447/71447_2.fq.gz,42453
../results/simdir/Bacillus_megaterium_WSH_002_uid71447/71447_1.fq.gz,39616
../results/simdir/Listeria_monocytogenes_La111_uid177104/177104_2.fq.gz,22977
../results/simdir/Listeria_monocytogenes_La111_uid177104/177104_1.fq.gz,21290
../results/simdir/Staphylococcus_aureus_COL_uid238/238_2.fq.gz,23528
../results/simdir/Staphylococcus_aureus_COL_uid238/238_1.fq.gz,21173
../results/simdir/Francisella_cf__novicida_Fx1_uid62751/62751_1.fq.gz,14684
../results/simdir/Francisella_cf__novicida_Fx1_uid62751/62751_2.fq.gz,15916
../results/simdir/Clostridium_difficile_ATCC_43255_uid42473/42473_1.fq.gz,30780
../results/simdir/Clostridium_difficile_ATCC_43255_uid42473/42473_2.fq.gz,34944
../results/simdir/Salmonella_enterica_serovar_Typhimurium_T000240_uid45951/45951_2.fq.gz,41580
../results/simdir/Salmonella_enterica_serovar_Typhimurium_T000240_uid45951/45951_1.fq.gz,38030
../results/simdir/Escherichia_coli_BW2952_uid33775/33775_2.fq.gz,38261
../results/simdir/Escherichia_coli_BW2952_uid33775/33775_1.fq.gz,35352
../results/simdir/Pseudomonas_aeruginosa_SCV20265_uid229445/229445_1.fq.gz,50327
../results/simdir/Pseudomonas_aeruginosa_SCV20265_uid229445/229445_2.fq.gz,56902
../results/simdir/Francisella_tularensis_holarctica_LVS_uid16421/16421_1.fq.gz,14272
../results/simdir/Francisella_tularensis_holarctica_LVS_uid16421/16421_2.fq.gz,15938
../results/simdir/Staphylococcus_aureus_ECT_R_2_uid52833/52833_1.fq.gz,20838
../results/simdir/Staphylococcus_aureus_ECT_R_2_uid52833/52833_2.fq.gz,23336
../results/simdir/Pseudomonas_fluorescens_CHA0_uid78307/78307_1.fq.gz,51670
../results/simdir/Pseudomonas_fluorescens_CHA0_uid78307/78307_2.fq.gz,57788
../results/simdir/Clostridium_stercorarium_DSM_8532_uid181307/181307_1.fq.gz,23125
../results/simdir/Clostridium_stercorarium_DSM_8532_uid181307/181307_2.fq.gz,25000
../results/simdir/Staphylococcus_aureus_ST228_10388_uid71343/71343_1.fq.gz,20867
../results/simdir/Staphylococcus_aureus_ST228_10388_uid71343/71343_2.fq.gz,23578
../results/simdir/Staphylococcus_aureus_M1_uid194419/194419_1.fq.gz,21598
../results/simdir/Staphylococcus_aureus_M1_uid194419/194419_2.fq.gz,24405
../results/simdir/Staphylococcus_aureus_04_02981_uid34809/34809_1.fq.gz,21549
../results/simdir/Staphylococcus_aureus_04_02981_uid34809/34809_2.fq.gz,23868
../results/simdir/Bacillus_cereus_B4264_uid17731/17731_2.fq.gz,45653
../results/simdir/Bacillus_cereus_B4264_uid17731/17731_1.fq.gz,41850
../results/simdir/Pseudomonas_fulva_12_X_uid49675/49675_2.fq.gz,41440
../results/simdir/Pseudomonas_fulva_12_X_uid49675/49675_1.fq.gz,37077
../results/simdir/Pseudomonas_putida_F1_uid13909/13909_2.fq.gz,49699
../results/simdir/Pseudomonas_putida_F1_uid13909/13909_1.fq.gz,45386
../results/simdir/Listeria_monocytogenes_SLCC2540_uid51731/51731_1.fq.gz,22793
