Total Number of Aligned Reads:	244910	Total Number of Mapped Genomes:	12325
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers	Initial High Confidence Hits	Initial Low Confidence Hits
ti|208964|org|Pseudomonas_aeruginosa_PAO1	0.8398189071880363	0.7754726225960556	189921.0	0.7754481238005798	2.4498795475889103e-05	0.4310400387453333	0.5692474649780245	139414.39664776798	0.296317014413458	0.4581315585317055
ti|557722|org|Pseudomonas_aeruginosa_LESB58	0.13158683220138429	0.154195418725246	37764.0	0.15418316932750806	1.2249397737944552e-05	0.2252881832542983	0.15971308493994435	39115.33163264177	0.07550937078926953	0.22481727981707567
ti|941193|org|Pseudomonas_aeruginosa_M18	0.020912077047139724	0.026438283451063655	6475.0	0.026438283451063655	0.0	0.21180314501863662	0.1451115548129222	35539.27088923278	0.06039769711322527	0.2237556653464538
ti|1280938|org|Pseudomonas_aeruginosa_B136-33	0.004651481754778316	0.010040423012535217	2459.0	0.010032256747376588	8.1662651586297e-06	0.09294139293595319	0.04057236335435085	9936.577509114066	0.019125393001510758	0.06448899595769875
ti|287|org|Pseudomonas_aeruginosa	0.0009475708543028688	0.0019721530358090726	483.0	0.0019721530358090726	0.0	0.010337690144303939	0.01084754337932568	2656.671849030652	0.00532848801600588	0.017447225511412357
ti|685039|org|Staphylococcus_aureus_subsp._aureus_ED133	0.000530141343052979	0.024862194275448123	6089.0	0.02476011596096525	0.00010207831448287126	0.0004931741491268997	0.013395170657840247	3280.611245811655	0.0016495855620431996	0.019256053244048835
ti|32630|org|synthetic_construct	0.0005293333457199948	0.0015025927891878649	368.0	0.0015025927891878649	0.0	0.006646630529817275	0.0076645129762601145	1877.1158730158647	0.002347801233106039	0.014078641133477603
ti|1280|org|Staphylococcus_aureus	0.0003451934933294814	0.0017434976113674411	427.0	0.001694500020415663	4.8997590951778206e-05	0.00029976705713894114	0.0013487510322829305	330.3226153164125	0.001253521701849659	0.001122861459311584
ti|93061|org|Staphylococcus_aureus_subsp._aureus_NCTC_8325	0.00011679325921668271	0.00035114940182107715	86.0	0.00035114940182107715	0.0	0.000121025488209971	0.0005248997688648382	128.55320239268752	0.0003797313298762811	0.0028459434077824507
ti|208963|org|Pseudomonas_aeruginosa_UCBPP-PA14	9.306980206423487e-05	0.0005675554285247641	139.0	0.0005675554285247641	0.0	0.0019377570696278898	0.006456577383709534	1581.2803670443018	0.0024702952104854845	0.017504389367522764
ti|985006|org|Staphylococcus_aureus_subsp._aureus_LGA251	7.7579464330653e-05	0.00017965783348985342	44.0	0.00017965783348985342	0.0	5.243568092461202e-05	0.0028936998571202108	708.6960320073108	0.00012249397737944552	0.008831815769058022
ti|1093787|org|Pseudomonas_aeruginosa_DK2	7.533639807346332e-05	0.00022457229186231676	55.0	0.00022457229186231676	0.0	0.016596458079611187	0.014403622157365127	3527.591102560293	0.0011432771222081581	0.045457515005512227
ti|381754|org|Pseudomonas_aeruginosa_PA7	7.198928946047305e-05	0.00028581928055203954	70.0	0.00028581928055203954	0.0	0.00013100145804006448	0.0008444951192374642	206.82529965244737	0.0003021518108692989	0.0028296108774651914
ti|1229492|org|Staphylococcus_aureus_08BA02176	4.591739273589015e-05	0.0004450614511453187	109.0	0.0004450614511453187	0.0	4.790997963654887e-05	0.000572519550394797	140.2157630871897	0.00023273855702094648	0.003025601241272304
