Total Number of Aligned Reads:	95194	Total Number of Mapped Genomes:	9389
Genome	Final Guess	Final Best Hit	Final Best Hit Read Numbers	Final High Confidence Hits	Final Low Confidence Hits	Initial Guess	Initial Best Hit	Initial Best Hit Read Numbers
ti|1001534|org|Francisella_tularensis_subsp._tularensis_TI0902	0.6816068770063499	0.6774586633611362	64490.0	0.6774061390423766	5.252431875958569e-05	0.24028356980861124	0.306
ti|214092|org|Yersinia_pestis_CO92	0.15895994317668713	0.16171187259701242	15394.0	0.1617013677332605	1.0504863751917138e-05	0.049111651056794506	0.04831174048135463	4598.987823382073	0.008099249952728113	0.14887492909216968
ti|177416|org|Francisella_tularensis_subsp._tularensis_SCHU_S4	0.08782465276019581	0.08008908124461626	7624.0	0.08007857638086434	1.0504863751917138e-05	0.1822921343993705	0.23871710730347356	22724.436312646863	0.023867050444355737	0.5385633548332878
ti|418136|org|Francisella_tularensis_subsp._tularensis_WY96-3418	0.040850556815733415	0.033300418093577325	3170.0	0.033300418093577325	0.0	0.15985468625602556	0.10848577339988855	10327.19471302899	0.01765867596697271	0.27433451688131605
ti|547048|org|Yersinia_pestis_biovar_Medievalis_str._Harbin_35	0.01861263617383911	0.0156312372628527	1488.0	0.0156312372628527	0.0	0.045146883928534116	0.04079614581352594	3883.5483045727883	0.005231422148454735	0.13702544278000714
ti|386656|org|Yersinia_pestis_Pestoides_F	0.004485494328917364	0.003939323906968927	375.0	0.003939323906968927	0.0	0.04311788272378382	0.0388292491965782	3696.3115480190654	0.005042334600920226	0.13453579007080277
ti|401614|org|Francisella_novicida_U112	0.004002432940816144	0.02043195999747883	1945.0	0.020389940542471164	4.201945500766855e-05	0.029573637513881455	0.020969900925243017	1996.2087486775838	0.018026346198289807	0.013855915288778704
ti|393011|org|Francisella_tularensis_subsp._holarctica_OSU18	0.0013875384588688785	0.0030884299430636386	294.0	0.0030884299430636386	0.0	0.0935289617503807	0.03278548565246354	3120.981521200614	0.006302918251150282	0.10260100426497468
ti|349746|org|Yersinia_pestis_Angola	0.0009160416431973897	0.001145030148958968	109.0	0.001145030148958968	0.0	0.04043147356041324	0.03478823339493038	3311.631089797003	0.004821732462129966	0.12115259365086035
ti|510831|org|Francisella_tularensis_subsp._tularensis_NE061598	0.0006164561112246977	0.0005462529150996911	52.0	0.0005462529150996911	0.0	0.009642620424251593	0.019561340218599562	1862.1222207693668	0.0013866420152530623	0.08775763178351577
ti|376619|org|Francisella_tularensis_subsp._holarctica_LVS	0.00023034556473477938	0.0006618064163707797	63.0	0.0006618064163707797	0.0	0.06976133215154315	0.02142773247721011	2039.791565435539	0.001208059331470471	0.08483727966048281
ti|32630|org|synthetic_construct	0.0001802884154759478	0.0008719036914091224	83.0	0.0008719036914091224	0.0	0.015675750088836624	0.020316424575838734	1934.0017210723925	0.0016387587452990735	0.07921717755320713
ti|1001542|org|Francisella_tularensis_subsp._tularensis_TIGB03	0.00012361034900940405	0.00010504863751917138	10.0	0.00010504863751917138	0.0	0.018824264110204103	0.02855502709125391	2718.267248924825	0.00026262159379792846	0.11952433976931319
ti|1035377|org|Yersinia_pestis_A1122	8.76838801999933e-05	0.00011555350127108852	11.0	0.00011555350127108852	0.0	0.00016455257685393972	0.0016378517694088672	155.9136613371077	0.00014706809252683993	0.013257138054919428
ti|1088870|org|Francisella_tularensis_subsp._holarctica_FSC021	8.39690999784649e-05	0.0001995924112864256	19.0	0.0001995924112864256	0.0	0.0001440128058491374	0.0003940741547087846	37.51349508334804	0.0001995924112864256	0.002006428976616173
ti|264|org|Francisella_novicida	2.2835728787511544e-05	0.00043069941382860267	41.0	0.00043069941382860267	0.0	0.00019094733533502604	0.0009996738882443134	95.16295611752916	0.000997962056432128	0.0027837888942580415
ti|135248|org|Francisella_tularensis_subsp._mediasiatica	8.624711146594173e-06	0.00021009727503834276	20.0	0.00021009727503834276	0.0	8.626069003446913e-06	0.0006359124274462171	60.53504761831519	0.00021009727503834276	0.004580120595835872
ti|441952|org|Francisella_tularensis_subsp._mediasiatica_FSC147	1.2043311238245694e-08	5.252431875958569e-05	5.0	5.252431875958569e-05	0.0	7.27850614673504e-07	0.001980742940191183	188.55484344855947	0.00012605836502300566	0.01430762443011114
ti|393305|org|Yersinia_enterocolitica_subsp._enterocolitica_8081	7.915652924861816e-10	1.0504863751917138e-05	1.0	1.0504863751917138e-05	0.0	1.5593310097604188e-07	0.00012543037453434592	11.940219073422526	0.00011555350127108852	0.0001680778200306742
